P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
60,120,3.5,0.4
60,120,3.5,0.4
60,120,3.5,0.4,0.75,250,250
60,120,3.5,0.4,2.5,320
60,120,150,3.5,3.5,0.4,0.4
60,120,150,3.5,3.5,0.4,0.4,120,Med,30,8,5
60,120,3.5,0.4,120,Med,30,8,5
60,120,3.5,0.4,0.75,250,250,120,Med,30,8,5
60,120,3.5,0.4,120,Med,30,8,5
60,120,3.5,0.4,2.5,320,120,Med,30,8,5
